Business Express Airlines,GAA,HQ,,United States,
Buta Airways,AHY,J2,AZAL,Azerbaijan,https://www.butaairways.az/
Buzz,BUZ,UK,BUZZ,United Kingdom,
BWee Express,BWA,BW,,Trinidad And Tobago,
Bonanza Airlines,BON,,,United States,
Bosnian Wand Airlines (BWA),,,,Bosnia And Herzegovina,http://www.bwairlines.com
Bosphorus European Airways,BHY,,,Turkey,http://www.bea-air.com
BP Exploration Company (Colombia) Ltd.,,,,Colombia,
BRA - Braathens Regional Airlines,SCW,TF,SCANWING,Sweden,https://www.flygbra.se
Braathens,BRA,BU,BRAATHENS,Norway,http://www.braathens.no
Braathens Malmö Aviation,SCW,6E,,Sweden,
Braathens S.A.F.E.,BRA,BU,BRAATHENS,Norway,
Braniff International Airlines,,BE,,United States,
Brascoota,,,,Brazil,http://www.brascoota.com.br/
Bravo Air,BRZ,,,Georgia,
Bravo Airlines,BBV,BQ,BRAVO,Spain,
BremenFly,BFY,8B,BORGWARDT,Germany,http://www.bremenfly.com
Bright Flight,BFG,,,Bulgaria,http://www.bright-flight.eu/
Bristow Helicopters Group,BHL,UH,,United Kingdom,
Britannia,DBY,BN,,Germany,
Britannia Airways AB,BLX,6B,BLUESCAN,Sweden,http://www.britanniaairways.se
British Air Ferries,BAF,VF,,United Kingdom,
British Airways,BAW,BA,SPEEDBIRD,United Kingdom,http://www.ba.com
British Caledonian Airways,BCA,BR,,United Kingdom,
British Cargo Airlines,,,,United Kingdom,
British European Airways,JEA,BE,JERSEY,United Kingdom,
British Jet,FHE,,,Malta,http://www.britishjet.com
British Midland,BMA,BD,,United Kingdom,
British Regional Airlines,BRT,TH,,United Kingdom,
British World Airlines,BWL,VF,,United Kingdom,
Brussels Airlines,BEL,SN,BEE-LINE,Belgium,http://www.brusselsairlines.com
Brymon Airways,BRY,BC,,United Kingdom,
Buddha Air,BHA,U4,BUDDHA AIR,Nepal,http://www.buddhaair.com
Buffalo Airways,BVA,BV,BUFFALO AIR,United States,
Bul Air,BVL,LB,BULGARY,Bulgaria,http://www.bulair.bg/
Bulgarian Air Charter,BUC,H6,BULGARIA,Bulgaria,http://www.bgaircharter.com/
Bural,BUN,BU,BURAL,Russian Federation,
Bursa Airlines (BAL),,WL,,Turkey,
Business Air,GNT,II,GRANITE,United Kingdom,
Business Aviation Services,,,,United States,
Busy Bee Of Norway,BEE,BS,,Norway,
Buzz,RYS,RR,MAGIC SUN,Poland,
BVI Airways,BVI,,,"Virgin Islands, British",http://www.bviairways.com/
BWIA West Indies Airways,BWA,BW,WEST INDIAN,Trinidad And Tobago,http://www.bwee.com
Airline_name,ICAO,IATA,Callsign,Country,Website
C&M Airways,RWG,,RED WING,United States,
Cairo Aviation,CCE,OE,AIR CAIRO,Egypt,http://www.cairoaviation.com
Cal Air International,CAI,EN,,United Kingdom,
Caledonian Airways,CKT,KT,,United Kingdom,
Calima Aviacion,CMV,3C,CALIMA,Spain,
CAM Air International,FLM,OX,BOXHAULER,United States,
Cambodia Airways,KME,KR,GIANT IBIS,Cambodia,http://www.cambodia-airways.com/
Cambodia International Airlines,KHM,XE,,Cambodia,
Cameroon Airlines,UYC,UY,CAM-AIR,Cameroon,http://www.cameroon-airlines.com
Canada 3000 Airlines,CMM,2T,ELITE,Canada,
Canadian Airways Congo,,,,"Congo, The Democratic Republic Of The",https://www.canaircongo.com/en/
Canadian North,MPE,5T,EMPRESS,Canada,http://www.canadiannorth.com
Canadian Regional Airlines,CDR,KI,CANADIAN REGIONAL,Canada,
Canarias Air Cargo,CCS,,,Spain,
Canary Fly,CNF,PM,CANARY,Spain,http://www.canaryfly.es/
Cape Air,KAP,9K,CAIR,United States,https://www.capeair.com/
Capital Airlines,CPG,BZ,CAPITAL,United Kingdom,
Capitol Air,CAP,CL,CAPITOL,United States,
Cardinal Lineas Aereas,,,,Argentina,
Cargo 360,GGC,GG,LONGHAUL,United States,http://www.cargo360.aero
Cargo Air Lines,ICL,5C,,Israel,http://www.cal.co.il
Cargo Charter Airways,,,,Germany,
CargoBIS,,,,Brazil,
Cargojet Airways,CJT,W8,CARGOJET,Canada,http://www.cargojet.com/
Cargologicair,CLU,,FIREBIRD,United Kingdom,http://www.cargologicair.com/
Cargolux Italia,ICV,C8,CARGOLUX ITALIA,Italy,
CargoPlus Aviation,ACE,,FASTCARGO,Ghana,
Caribair,CBC,,,Dominican Republic,
Caribbean Airways,IQQ,IQ,,Barbados,
Caribbean Star Airlines,GFI,8B,CARIB STAR,Antigua And Barbuda,http://www.flycaribbeanstar.com
Caribexpress,BCB,,,Barbados,
Carnival Airlines,CAA,KW,CARNIVAL AIR,United States,
Carstensz Papua Airlines,,,,Indonesia,
Casino Express,CXP,XP,CASINO EXPRESS,United States,http://westernescapes.com/CasinoExpress
Caspiy,,,,Kazakhstan,
Cathay Pacific,CPA,CX,CATHAY,Hong Kong,https://www.cathaypacific.com/
Caucasus Air Service,GEA,,,Georgia,
CC AIR,CDL,ED,,United States,
CCA - Czech Connect Airlines,CCG,CQ,CZECH CONNECT,Czech Republic,http://www.flycca.net
CCM Airlines,CCM,XK,,France,http://www.ccm-airlines.com
Cebu Pacific,CEB,5J,CEBU AIR,Philippines,http://www.cebupacificair.com
Celestair,,,,Burkina Faso,
Centavia,CNA,,,Serbia,http://www.centavia.com
Centennial Airlines,CNS,FA,,Canada,
Center-South,CTS,,CENTER SOUTH,Russian Federation,http://www.center-south.ru
Central American Air Cargo,,,,Unknown,
Central Mountain Air,GLR,9M,GLACIER,Canada,https://www.flycma.com/
Centurion Air Cargo,CWC,WE,CHALLENGE CARGO,United States,http://www.centurioncargo.com/
CFS Air Cargo,,,,United Arab Emirates,
Chabahar Airline,IRU,,,"Iran, Islamic Republic Of",
CAAC - Civil Aviation Administration of China,CCA,CA,,China,
Cairo Charter & Cargo,,,,Egypt,
Caledonian - British United,,BR,,United Kingdom,
California Pacific Airlines,,,,United States,https://www.mycpair.com/
Calm Air International,CAV,MO,CALM AIR,Canada,https://www.calmair.com/
Camair Co,CRC,QC,CAMAIRCO,Cameroon,http://www.camair-co.cm/
Cambodia Angkor Air,KHV,K6,CAMBODIA,Cambodia,https://www.cambodiaangkorair.com/
Cambrian Airways,,CS,,United Kingdom,
Cameroon Government,,,,Cameroon,
Canadian Airlines International,CDN,CP,CANADIAN,Canada,
Canadian Metro Airlines,,,,Canada,
Canadian Pacific Airlines,CPC,CP,EMPRESS,Canada,
Canair,CWW,,,Canada,
Canarias Regional Air,CNM,,,Spain,
CanJet,CJA,C6,CANJET,Canada,http://www.canjet.com
Capital Airlines,CBJ,JD,CAPITAL JET,China,http://www.jdair.net
Capital Cargo International Airlines,CCI,PT,CAPPY,United States,http://www.capitalcargo.com
Cardig Air,CAD,8F,CARDIG AIR,Indonesia,http://www.cardigair.com/
Cargair International,,,,"Congo, The Democratic Republic Of The",
Cargo Air,CGF,,CLEVER,Bulgaria,http://www.cargoair.bg
Cargo B Airlines,CBB,BB,CARGO-BEE,Belgium,http://www.cargob.com
Cargo Lion,TLX,,TRANSLUX,Luxembourg,
Cargoitalia,CRG,2G,,Italy,http://www.cargoitalia.it
CargoLogic Germany,,,,Germany,
Cargolux Airlines International,CLX,CV,CARGOLUX,Luxembourg,http://www.cargolux.com
CargOman,CGM,HC,HOTEL CHARLIE,Oman,
Cargosur,OWS,OW,CARGOSUR,Spain,
Caribbean Airlines,BWA,BW,CARIBBEAN AIRLINES,Trinidad And Tobago,https://www.caribbean-airlines.com/
Caribbean Express,TLC,,,United States,
Caribbean Sun,SFG,ZQ,CARIB SUN,United States,http://www.flycsa.com
Caribjet,CBJ,,,Antigua And Barbuda,
Carpatair,KRP,V3,SMART WINGS,Romania,http://www.carpatair.com/
Cascade Airways,CCD,,,United States,
Caspian Airlines,CPN,,CASPIAN,"Iran, Islamic Republic Of",http://www.caspian.aero/
Cathay Dragon,HDA,KA,DRAGON,Hong Kong,https://www.cathaypacific.com/
Catran,CCT,,,Switzerland,
Cayman Airways,CAY,KX,CAYMAN,Cayman Islands,https://www.caymanairways.com/
CCA - Central Charter Airlines,CCG,,,Czech Republic,
CCA Slovakia,CCS,9C,SKYSPIRIT,Slovakia,
CDI Cargo Airlines,CDC,GJ,HUALONG,China,
Ceiba Intercontinental,CEL,C2,CEIBA LINE,Equatorial Guinea,
Cemair,KEM,5Z,CEMAIR,South Africa,http://www.flycemair.co.za/
Centennial Air,CNP,,,Philippines,
Centennial Airlines,CNA,BE,,Spain,
CentrAfrique Air Express,CAE,6C,EXPRESS CENTRAF,Central African Republic,
Central Connect Airlines,JBR,3B,,Czech Republic,http://www.centralconnectairlines.eu
Centralwings,CLW,C0,CENTRALWINGS,Poland,http://www.centralwings.com
CESA Cargo,,,,Mexico,
Chaba Airlines,,,,Thailand,http://www.chabaair.com/
Chalair Aviation,CLG,CE,CHALLAIR,France,
Airline_name,ICAO,IATA,Callsign,Country,Website
ChallengAir,CHG,1I,,Belgium,
Challenge Air International,OFF,OF,CHALLENGE AIR,United States,
Champion Air,CCP,MG,CHAMPION AIR,United States,
Chang An Airlines,CGN,9H,CHANG AN,China,
Chartair,,,,United Kingdom,
CHC Airways,,,,Multinational,
CHeights,,,,Malaysia,
Chicago Express Airlines,WDY,C8,,United States,
Chilejet,,,,Chile,http://www.chilejet.com/
China Airlines,CAL,CI,DYNASTY,Taiwan,http://www.china-airlines.com
China Eastern Airlines,CES,MU,CHINA EASTERN,China,http://www.ceair.com/
China National Aviation Corporation (CNAC),CAG,F6,,China,
China Northwest Airlines,CNW,WH,CHINA NORTHWEST,China,http://www.cnwa.com
China Southern Airlines,CSN,CZ,CHINA SOUTHERN,China,https://www.csair.com/
China United Airlines,CUA,KN,LIANHANG,China,http://www.flycua.com/
China Xinhua Airlines,CXH,XW,,China,http://www.chinaxinhuaair.com
China Yunnan Airlines,CYH,3Q,YUNNAN,China,
Chongqing Airlines,CQN,OQ,CHONG QING,China,http://www.flycq.com
Chrysler Pentastar Aviation,CYL,,,United States,
Cielos del Peru,CIU,A2,CIELOS,Peru,
Cimber Air,CIM,QI,,Denmark,http://www.cimber.com
Cirrus Air,NTS,,,United States,
Cirrus Middle East,JTI,,,Lebanon,
Citilink,CTV,QG,SUPERGREEN,Indonesia,http://www.citilink.co.id/
City Airline,SDR,CF,SWEDESTAR,Sweden,http://www.cityairline.com
City Bird,CTB,H2,,Belgium,
City Star Airlines,ISL,X9,ISLANDIA,United Kingdom,http://www.citystarairlines.com
Cityjet,BCY,WX,CITY IRELAND,Ireland,https://www.cityjet.com/
CiTylinK,CTQ,,CITYLINK,Ghana,http://www.flycitylink.com/
CL Air,,,,Netherlands,
Click Mexicana,CBE,QA,CLICK,Mexico,http://www.clickmx.com
Club 328,SDJ,,SPACEJET,United Kingdom,http://www.club328.com/
Club Airways,,,,United Kingdom,
CNA,,,,United States,
Cobalt Air,FCB,CO,APOLLO,Cyprus,https://www.cobalt.aero/
Cobrex Trans,CBX,,COBREX,Romania,https://www.cobrextrans.com/
Colombe Airline,,,,Burkina Faso,
Colorful Guizhou Airlines,CGZ,GY,COLORFUL,China,http://www.dcair.net/
Comair,CAW,MN,COMMERCIAL,South Africa,http://www.comair.co.za/
Comlux Aviation,CLA,,COMLUX,Switzerland,http://www.comluxaviation.com
Community Airlines,CML,,COMMUNITY,"Tanzania, United Republic Of",http://www.communityair.co.tz/
Comoro Islands Airline,,,,Comoros,
Compaq Computer Corp,,,,United States,
Compass Airlines,CYM,YM,,Australia,
Concord International Airlines,,,,United States,
Condor Berlin,CIB,DE,CONDOR BERLIN,Germany,http://www.condor.com
Congo Airways,CGA,8Z,,"Congo, The Democratic Republic Of The",http://www.congoairways.com/
Connect Linhas Aéreas,CNT,,,Brazil,http://www.connect-cargo.com/
Conner Air Lines,CRQ,4S,,United States,
Conquest Sun Airlines,,,,United States,
Challenge Air Cargo (CAC),CWC,WE,CHALLENGE CARGO,United States,
Cham Wings Airlines,SAW,6Q,SHAMWING,Syrian Arab Republic,http://www.chamwings.com/
Chanchangi Airlines,NCH,3U,,Nigeria,
Channel Express,EXS,LS,CHANNEX,United Kingdom,http://www.channel-express.co.uk
Chautauqua Airlines,CHQ,RP,CHAUTAUQUA,United States,http://www.flychautauqua.com
Cheboksary Air Enterprise,CBK,,,Russian Federation,
Chengdu Airlines,UEA,EU,UNITED EAGLE,China,http://www.chengduair.cc/
Chilean Airways,,,,Chile,
China Air Cargo,CHY,,,China,
China Cargo Airlines,CKK,CK,CARGO KING,China,http://www.cc-air.com
China Express Airlines,HXA,G5,CHINA EXPRESS,China,http://www.chinaexpressair.com
China Northern Airlines,CBF,CJ,,China,http://www.cna.com.cn
China Postal Airlines,CYZ,CF,CHINA POST,China,
China Southwest Airlines,CXN,SZ,,China,http://www.cswa.com
China West Air,CHB,PN,WEST CHINA,China,http://www.westair.cn/
China Xinjiang Airlines,CXJ,XO,XINJIANG,China,http://www.cxa.web.ur.ru
Choice Aire,,,,United States,http://www.choiceairemiami.com/
Chrono Aviation,,,,Canada,https://www.chronoaviation.com
Ciao Fly,CIO,,,Italy,
Cimber A/S,CIM,QA,CIMBER,Denmark,
Cimber Sterling,CIM,QI,CIMBER,Denmark,http://www.cimber.com/
Cirrus Airlines,RUS,C9,CIRRUS AIR,Germany,http://www.cirrus-world.de
Citelynx Travel,,,,United Kingdom,http://www.citelynx.com
City Air,CIP,6E,,Germany,
City Airways,GTA,E8,CITY AIRWAYS,Thailand,http://cityairways.co.th
City Bird France,CFB,,,France,
Cityflyer Express,CFE,FD,FLYER,United Kingdom,
Cityline Hungary,CNB,,,Hungary,
Civair Airways,CIW,,,South Africa,
CLA Air Transport,CXX,C9,,Philippines,
Clickair,AIS,XG,CLICKJET,Spain,http://www.clickair.com
Club Air,ISG,6P,,Italy,
CMC Aviation,,,,Kenya,
Coast Air,CST,BX,COAST CENTRE,Norway,http://www.coastair.no 
Cobham Aviation,JTE,NC,JETEX,Australia,
Colgan Air,CJC,9L,COLGAN,United States,http://www.colganair.com/
Color Air,CLA,,,Norway,
Colt Aviation,XCA,,COLT,Brazil,http://coltcargo.com.br/
Comair,COM,OH,COMAIR,United States,http://www.comair.com
Command Airways,,,,United States,
CommutAir,UCA,C5,COMMUTAIR,United States,http://www.commutair.com
Compagnie Aérienne du Mali (CAM),CMM,,CAMALI,Mali,http://www.camaero.com
Compass Airlines,CPZ,CP,COMPASS ROSE,United States,http://www.compassairline.com
Conair,OYC,OY,,Denmark,
Condor,CFG,DE,CONDOR,Germany,http://www.condor.com
Congo Airlines (CAL),ALX,EO,ALLCONGO,"Congo, The Democratic Republic Of The",
Congo Express,EXY,XZ,EXPRESSWAYS,South Africa,
Connectair Charters,BSN,,,Canada,
Connie Kalitta Services,,,,United States,
Constellation International Airlines,CIN,CQ,CONSTELLATION,Belgium,
Airline_name,ICAO,IATA,Callsign,Country,Website
Contact Air,KIS,C3,CONTACTAIR,Germany,http://www.contactair.de
Continent Air Paris,,,,France,
Continental Cargo Airlines,CCL,,CONTICAL,Ghana,
Continental Micronesia,CMI,CS,AIR MIKE,Guam,
Continental Wings - Comoros Airlines,CWK,,,Comoros,
Conviasa,VCV,V0,CONVIASA,Venezuela,http://www.conviasa.aero
Copa Airlines Colombia,RPB,P5,AEROREPUBLICA,Colombia,http://www.copaair.com
Corendon Airlines Europe,CXI,XR,TOURISTIC,Malta,https://www.corendonairlines.com/
Corporate Express,CPB,2,PENTA,Canada,http://www.corporateexpressair.com
Corse Air International,,,,France,
Cosmic Air,COZ,F5,COSMIC AIR,Nepal,http://www.cosmicair.com
Cosmos Air,AZE,ZE,,Germany,
Costa Rican Skies,,,,Costa Rica,
Court Line,,OU,,United Kingdom,
CR Airways,CRK,HX,,Hong Kong,http://www.crairways.com
Cretan Airlines,KRT,C5,CRETAN,Greece,
Cronos Airlines,CRA,C8,,Equatorial Guinea,http://www.cronosair.com/
Crossair,CRX,LX,CROSSAIR,Switzerland,
Crossline,,,,Georgia,http://crosslinegeorgia.com/
Cruzeiro,CRZ,SC,CRUZEIRO,Brazil,
CTA,CTA,,,Switzerland,
Cubana,CUB,CU,CUBANA,Cuba,http://www.cubana.cu
CuraçaoExel,,,,Netherlands Antilles,
CV Cargo,,,,Colombia,
Cyprus Airways,CYP,CY,CYPRUS,Cyprus,https://www.cyprusairways.com/
Cyprus Turkish Airlines (KTHY),KYV,YK,AIRKIBRIS,Turkey,http://www.kthy.net
Conti-Flug,,,,Germany,
Continental Air Lines,COA,CO,CONTINENTAL,United States,http://www.continental.com
Continental Lite,,,,United States,
Continental West Airlines,,CO,,United States,
Contour Aviation,VTE,,VOLUNTEER,United States,http://www.flycfm.com
Copa Airlines,CMP,CM,COPA,Panama,http://www.copaair.com
Corendon Airlines,CAI,XC,CORENDON,Turkey,http://www.corendon.com
Corendon Dutch Airlines,CND,CD,DUTCH CORENDON,Netherlands,http://www.corendon.nl
Corsair,CRL,SS,CORSAIR,France,http://www.corsair.fr
Corse Mediterranee,CCM,ZN,,France,
Cosmo Airlines,KOM,,BLACKEAGLE,Spain,http://www.cosmoairlines.com/
Costa Airlines,COT,,MARA,Venezuela,http://www.costa.aero/
Cougar Cargo,,,,Liberia,
CP Air,CPC,CP,EMPRESS,Canada,
Crescent Air Transport,,KJ,,Pakistan,
Croatia Airlines,CTN,OU,CROATIA AIRLINES,Croatia,https://www.croatiaairlines.com/
Cronus Airlines,CUS,X5,CRONUS,Greece,
Crossair Europe,ECC,QE,,Switzerland,
Crownair,CRW,,REGAL,Canada,
Crystal Thai Airlines,KPS,,CRYSTAL THAI,Thailand,http://www.crystalthaiair.com/
CTA España (Canafrica),NCR,KG,,Spain,
Curaçao Express,,,,Netherlands Antilles,
Custom Air Transport,CTT,5R,,United States,
Cygnus Air,RGN,XG,,Spain,http://www.cygnusair.com/
Cyprus Airways,CYP,CY,CYPRUS,Cyprus,http://www.cyprusairways.com
Czech Airlines (CSA),CSA,OK,CSA-LINES,Czech Republic,http://www.czechairlines.com
Airline_name,ICAO,IATA,Callsign,Country,Website
Daallo Airlines,DAO,D3,,Djibouti,
DAC Aviation International,,JX,,Kenya,http://www.dacaviation.com/
Daghestan Airlines,DAG,N2,DAGAL,Russian Federation,
Dalian Airlines,CCD,CA,XIANGJIAN,China,http://www.dalianair-china.com/
Dan-Air London,DAN,DA,,United Kingdom,
Danaus Airlines,,,,Mexico,http://www.danausairlines.com.mx/
Danube Wings,VPA,V5,VIP TAXI,Slovakia,http://www.danubewings.eu/
Darwin Airline,DWT,F7,DARWIN,Switzerland,http://www.darwinairline.com/
DASA,,,,Germany,
Dauair,DAU,D5,DAUAIR,Germany,http://www.dauair.com/
Debonair,DEB,2G,DEBONAIR,United Kingdom,
Deccan 360,DEC,3C,DECCAN CARGO,India,http://www.deccanexpress.in
Deer Jet,BDJ,DF,CROWN JET,China,http://www.deerjet.com
Delbitur,,,,Uruguay,
Delsey Airlines,FVG,IV,,Belgium,
Delta Air Regionalflugverkhr,DEL,DI,,Germany,
Delta Connection,DCP,Z9,,Kenya,http://www.deltaconnection.co.ke/
Dena Airways,DAI,,DENA,"Iran, Islamic Republic Of",
Denver Jet,DJT,,,United States,
DETA Air,DET,DI,SAMAL,Kazakhstan,http://www.detakz.com/
Deutsche BA,BAG,DI,SPEEDWAY,Germany,
DHL Aero Expreso,DAE,D5,YELLOW,Panama,http://www.dhl.com/
DHL Aviation,DHV,,WORLDSTAR,South Africa,
DHL International,DHX,ES,DILMUN,Bahrain,
Diamond Aviation,SPK,,,United States,
Diexim Expresso,,,,Angola,
Dimonim Air,,,,Indonesia,
Direct Air,DIA,,,United States,
Dirgantara Air Services,DIR,AW,,Indonesia,
Discovery Aviation,,,,Czech Republic,
Divi Divi Air,DVR,,DIVI AIR,Netherlands Antilles,https://www.flydivi.com/
DLT,DLT,DW,,Germany,
Dobrolet,DBR,QD,DOBROLET,Russian Federation,http://www.dobrolet.com/
Dolphin Air,,,,United Arab Emirates,
Dominicana,DOA,DO,DOMINICANA,Dominican Republic,
Donavia,DNV,D9,DONAVIA,Russian Federation,
Donghai Airlines,EPA,DZ,DONGHAI AIR,China,http://www.donghaiair.com/
DOT LT,DNU,R6,DANU,Lithuania,http://www.dot.lt
Dragonair,HDA,KA,DRAGON,Hong Kong,http://www.dragonair.com
Druk Air - Royal Bhutan Airlines,DRK,KB,ROYAL BHUTAN,Bhutan,http://www.drukair.com.bt
Duo Airways,DUO,VB,FLY DUO,United Kingdom,
Dutch Caribbean Airlines (DCA),DCE,K8,DUTCH CARIBBEAN,Netherlands Antilles,
Dutchbird,DBR,5D,DUTCHBIRD,Netherlands,http://www.dutchbird.nl
Dynamic Airways,DYA,2D,DYNAMIC AIR,United States,https://www.airdynamic.com/
Dac Air,,,,Romania,
Dacono Air,DCA,,,Russian Federation,
Dalavia,KHB,H8,,Russian Federation,
Damania Airways,DAM,D2,,India,
Dana Air,DAN,9J,DANACO,Nigeria,http://www.flydanaair.com
Danish Air Transport (DAT),DTR,DX,DANISH,Denmark,https://www.dat.dk/
Dart,DAT,D4,DARTLIMITED,Ukraine,http://www.aerodart.com.ua
DAS Air Cargo,DSR,WD,,Ghana,
Dasab Airlines,DSQ,,,Nigeria,
DBA,BAG,DI,SPEEDWAY,Germany,http://www.flydba.com
Decatur Aviation,DAA,,,United States,
Deer Air,DER,DF,DEER JET,China,
Dehong South Asian Airline,DLC,,,China,
Delmun Aviation,,,,Bahrain,
Delta Air Lines,DAL,DL,DELTA,United States,https://www.delta.com/
Delta Air Transport,SAB,SN,,Belgium,
Delta International,,,,Belgium,
Denim Air,DNM,3D,DENIM,Netherlands,http://www.denim.aero/
Desert Sun Airlines,,,,United States,
DETA Linhas Aéreas de Moçambique,,TM,,Mozambique,
DFD Deutscher Ferienflugdienst,,,,Germany,
DHL Air,DHK,D0,WORLD EXPRESS,United Kingdom,http://www.dhl.com/
DHL de Guatemala,JOS,L3,,Guatemala,http://www.solenta.com
DHL Worldwide Express,DHL,ER,DAHL,United States,
Diamond Sakha Airlines,DSL,,,Russian Federation,
Digex Aero Cargo,DGX,,,Brazil,
Dinar Lineas Aereas,RDN,D7,,Argentina,
Direct Fly,SXP,,EXPRESS SKY,Poland,
Discovery Airways,DVA,,,United States,
DiscoveryAir,DCV,,DISCOVERYJET,Nigeria,http://discoveryair.com.ng/
Djibouti Air,,,,Djibouti,
Dniproavia,UDN,Z6,DNIEPRO,Ukraine,http://www.dniproavia.com
Dodson International Charter,,,,South Africa,
Dominican Wings,DWI,,DOMINICAN,Dominican Republic,http://www.dominicanwings.com/
Domodedovo Airlines,DMO,E3,,Russian Federation,
DonbassAero Airline,UDC,7D,DONBASS AERO,Ukraine,http://www.donbass.aero
Dornier Aviation Nigeria Aiep (DANA),DAV,,,Nigeria,http://www.dananig.aero/
Douglas-Aero USA,,,,United States,
Dream Wind,DRW,,DREAM WIND,Ukraine,
Dubrovnik Airline,DBK,2D,DUBROVNIK AIR,Croatia,
Dutch Antilles Express,DNL,9H,DUTCH ANTILLES,Netherlands Antilles,http://www.flydae.com
Dutch Caribbean Express (DCE),DCE,K8,DUTCH CARIBBEAN,Netherlands Antilles,
DutchCaribbeanExel,HXL,,,Netherlands Antilles,http://www.dutchcaribbeanexel.com
Dynamic Aviation Group,,,,United States,
Airline_name,ICAO,IATA,Callsign,Country,Website
E-Cargo,,,,Russian Federation,
Eagle Air Iceland,FEI,,ARCTIC EAGLE,Iceland,https://www.eagleair.is/
Eagle Airlines,VIK,V9,,United States,
Eagle Atlantic Airlines,,,,Ghana,
Eagle Aviation France,EGN,,FRENCH EAGLE,France,http://www.eagle-aviation.net
Eaglexpress Air,EZX,9A,EAGLEXPRESS AIR,Malaysia,http://www.eaglexpressair.com/
EAS,,,,United States,
EAS Airlines,EXW,,ECHOLINE,Nigeria,
East African Airways (EAA),JND,EC,EASTAF,Multinational,
East African Safari Air,HSA,S9,,Kenya,http://www.africansafariair.com
East Airways,,,,United States,
East West Airlines,,,,India,
Eastar Jet,ESR,ZE,EASTAR,"Korea, Republic Of",http://www.eastarjet.com/
Eastern Air Lines,EAL,EA,EASTERN,United States,
Eastern Airways,EZE,T3,EASTFLIGHT,United Kingdom,http://www.easternairways.com
Eastern Provincial Airways,EPA,PV,PROVINCIAL,Canada,
Eastindo,,,,Indonesia,
Eastwind Airlines,SGR,W9,,United States,
Easy Fly Express,EFX,,EASY EXPRESS,Bangladesh,http://www.easyfly-express.com/
easyJet,EZY,U2,EASY,United Kingdom,https://www.easyjet.com/
easyJet Switzerland,EZS,DS,TOPSWISS,Switzerland,https://www.easyjet.com/
EAT Leipzig,BCS,QY,EUROTRANS,Germany,http://www.dhl.com/
EBA Italy,,,,Italy,
ECAir,,LC,,Congo,http://www.flyecair.com/
EcoJet,ECO,,ECOJET,Bolivia,
Ecuatoriana,EEA,EU,,Ecuador,
Efly,,,,Malta,
EFS Cargo,FSD,,,Germany,
EgyptAir Cargo,MSX,MS,EGYPTAIR CARGO,Egypt,http://www.egyptair-cargo.com/
Eirjet,EIR,,EIRJET,Ireland,http://www.eirjet.com
Elan Air,,,,United States,
Elders IXL,,,,United States,
Electra Airlines,ELD,,,Greece,
Elitaliana,ETI,,,Italy,
Elite Airlines,,,,Greece,
Ellinair,ELB,EL,ELLINAIR HELLAS,Greece,http://www.ellinair.com
Emerald Air,EFF,OD,EMERALD,United States,
Emery Worldwide Airlines,EWW,EB,EMERY,United States,
Emirates,UAE,EK,EMIRATES,United Arab Emirates,https://www.emirates.com/
Empire Airlines,CFS,EM,EMPIRE,United States,http://www.empireairlines.com/
EnComm,,,,Kenya,
Enerjet,ENJ,EG,ENERJET AIR,Canada,http://www.enerjet.ca
Enter Air,ENT,E4,ENTER,Poland,http://www.enterair.pl/
Eos Airlines,ESS,E0,NEW DAWN,United States,
Era Alaska,ERR,7H,ERAH,United States,
Eram Air,IRY,YE,ERAM AIR,"Iran, Islamic Republic Of",http://www.eramair.com
Eritrean Airlines,ERT,B8,,Eritrea,http://www.eritreanairlines.nl
Esen Air,ESD,,ESEN AIR,Kyrgyzstan,
Esso Resources Canada,ERC,,,Canada,
Estelar Latinoamerica,ETR,ES,ESTELAR,Venezuela,
EA-727,,,,United States,
Eagle Air of Iceland (Arnarflug),ISL,VL,EAGLE AIR,Iceland,
Eagle Airways,EAG,,EAGLE,New Zealand,http://www.eagleair.co.nz
Eagle Aviation,EQA,Y4,MAGNUM,Kenya,
Eagles Airlines,EGS,E3,EAGLES,Italy,http://www.eaglesairlines.com/
Earth Airlines,ERX,,EARTH AIR,Nigeria,
EAS - Europe Aero Service,EYT,EY,EURO LINE,France,
EAS Cargo Airlines,ESY,,EXCO AIR,Nigeria,
East African Express,EXZ,B5,TWIGA,Kenya,
East Air,ETJ,,EAST TAJIK,Tajikistan,
East Star Airlines,DXH,8C,EAST STAR,China,http://www.eaststar-air.com
East-West Airlines,EWA,EW,,Australia,
Eastern Air Lines,EAL,,EASTERN,United States,http://www.easternairlines.aero/
Eastern Airlines,DYA,2D,,United States,https://www.easternairlines.aero/
Eastern Australia Airlines,EAQ,QF,Q LINK,Australia,https://www.qantas.com/
Eastern SkyJets,ESJ,EE,EASTERN SKYJETS,United Arab Emirates,http://www.easternskyjets.com/
Eastok Avia,EAA,,EASTOK,Kyrgyzstan,http://www.east-air.net/
Easy Aviation,,,,Austria,
Easyfly,EFY,VE,EASYFLY,Colombia,https://www.easyfly.com.co/
easyJet Europe,EJU,EC,ALPINE,Austria,https://www.easyjet.com/
EasySky Airlines,EKY,,,Honduras,
EBA France,,,,France,
EC Xpress,,JM,,Jamaica,
Ecoair International,DEI,9H,,Algeria,
Ecuato Guineana de Aviacion,ECV,,,Equatorial Guinea,
Edelweiss Air,EDW,WK,EDELWEISS,Switzerland,https://www.flyedelweiss.com/
