('北京 Beijing', '北京首都国际机场(Beijing Capital International)', 'PEK', 'ZBAA', '机场三字码：PEK', '机场四字码：ZBAA', 'FAA代码：', '城市：北京（Beijing）', '电话：0086 10 96158', '机场所在地时间：2019-3-30 01:06:32', '机场跑道：12468 英尺', '机场跑道：3790 米')
('南宁 Nanning', '南宁吴圩国际机场(Nanning Wuxu)', 'NNG', 'ZGNN', '机场三字码：NNG', '机场四字码：ZGNN', 'FAA代码：', '城市：南宁（Nanning）', '电话：', '机场所在地时间：2019-3-30 01:06:40', '机场跑道：8858 英尺', '机场跑道：2693 米')
('贵阳 Guiyang', '贵阳龙洞堡国际机场(Longdongbao)', 'KWE', 'ZUGY', '机场三字码：KWE', '机场四字码：ZUGY', 'FAA代码：', '城市：贵阳（Guiyang）', '电话：', '机场所在地时间：2019-3-30 01:06:40', '机场跑道：10500 英尺', '机场跑道：3192 米')
('海口 Haikou', '海口美兰国际机场(Haikou Meilan International)', 'HAK', 'ZJHK', '机场三字码：HAK', '机场四字码：ZJHK', 'FAA代码：', '城市：海口（Haikou）', '电话：', '机场所在地时间：2019-3-30 01:06:41', '机场跑道：11811 英尺', '机场跑道：3591 米')
('济南 Jinan', '济南遥墙国际机场(Yaoqiang)', 'TNA', 'ZSJN', '机场三字码：TNA', '机场四字码：ZSJN', 'FAA代码：', '城市：济南（Jinan）', '电话：', '机场所在地时间：2019-3-30 01:06:42', '机场跑道：11814 英尺', '机场跑道：3591 米')
('南昌 Nanchang', '南昌昌北国际机场(Nanchang Changbei International)', 'KHN', 'ZSCN', '机场三字码：KHN', '机场四字码：ZSCN', 'FAA代码：', '城市：南昌（Nanchang）', '电话：', '机场所在地时间：2019-3-30 01:06:42', '机场跑道：9186 英尺', '机场跑道：2793 米')
('三亚 Sanya', '三亚凤凰国际机场(Sanya Phoenix International)', 'SYX', 'ZJSY', '机场三字码：SYX', '机场四字码：ZJSY', 'FAA代码：', '城市：三亚（Sanya）', '电话：', '机场所在地时间：2019-3-30 01:06:42', '机场跑道：11155 英尺', '机场跑道：3391 米')
('长春 Changchun', '长春龙嘉国际机场(Longjia)', 'CGQ', 'ZYCC', '机场三字码：CGQ', '机场四字码：ZYCC', 'FAA代码：', '城市：长春（Changchun）', '电话：', '机场所在地时间：2019-3-30 01:06:43', '机场跑道：10500 英尺', '机场跑道：3192 米')
('哈尔滨 Harbin', '哈尔滨太平国际机场(Harbin Taiping International)', 'HRB', 'ZYHB', '机场三字码：HRB', '机场四字码：ZYHB', 'FAA代码：', '城市：哈尔滨（Harbin）', '电话：', '机场所在地时间：2019-3-30 01:06:44', '机场跑道：10500 英尺', '机场跑道：3192 米')
('福州 Fuzhou', '福州长乐国际机场(Fuzhou Changle International)', 'FOC', 'ZSFZ', '机场三字码：FOC', '机场四字码：ZSFZ', 'FAA代码：', '城市：福州（Fuzhou）', '电话：', '机场所在地时间：2019-3-30 01:06:45', '机场跑道：11841 英尺', '机场跑道：3600 米')
('沈阳 Shenyang', '沈阳桃仙国际机场(Taoxian)', 'SHE', 'ZYTX', '机场三字码：SHE', '机场四字码：ZYTX', 'FAA代码：', '城市：沈阳（Shenyang）', '电话：', '机场所在地时间：2019-3-30 01:06:45', '机场跑道：10499 英尺', '机场跑道：3192 米')
('海拉尔 Hailar', '海拉尔东山机场(Dongshan)', 'HLD', 'ZBLA', '机场三字码：HLD', '机场四字码：ZBLA', 'FAA代码：', '城市：海拉尔（Hailar）', '电话：', '机场所在地时间：2019-3-30 01:06:46', '机场跑道：8530 英尺', '机场跑道：2593 米')
('武汉 Wuhan', '武汉天河国际机场(Wuhan Tianhe International)', 'WUH', 'ZHHH', '机场三字码：WUH', '机场四字码：ZHHH', 'FAA代码：', '城市：武汉（Wuhan）', '电话：', '机场所在地时间：2019-3-30 01:06:46', '机场跑道：11155 英尺', '机场跑道：3391 米')
('珠海 Zhuhai', '珠海金湾机场(Zhuhai)', 'ZUH', 'ZGSD', '机场三字码：ZUH', '机场四字码：ZGSD', 'FAA代码：', '城市：珠海（Zhuhai）', '电话：', '机场所在地时间：2019-3-30 01:06:48', '机场跑道： 英尺', '机场跑道：0 米')
('台北 Taipei', '台北桃园国际机场(Taiwan Taoyuan International)', 'TPE', 'RCTP', '机场三字码：TPE', '机场四字码：RCTP', 'FAA代码：', '城市：台北（Taipei）', '电话：', '机场所在地时间：2019-3-30 01:06:49', '机场跑道：12008 英尺', '机场跑道：3650 米')
('厦门 Xiamen', '厦门高崎国际机场(Xiamen Gaoqi International)', 'XMN', 'ZSAM', '机场三字码：XMN', '机场四字码：ZSAM', 'FAA代码：', '城市：厦门（Xiamen）', '电话：', '机场所在地时间：2019-3-30 01:06:51', '机场跑道：11155 英尺', '机场跑道：3391 米')
('宁波 Ningbo', '宁波栎社国际机场(Ningbo Lishe International)', 'NGB', 'ZSNB', '机场三字码：NGB', '机场四字码：ZSNB', 'FAA代码：', '城市：宁波（Ningbo）', '电话：+86-0574-8742-7888', '机场所在地时间：2019-3-30 01:06:52', '机场跑道：10499 英尺', '机场跑道：3192 米')
('合肥 Hefei', '合肥新桥国际机场(Hefei Luogang International)', 'HFE', 'ZSOF', '机场三字码：HFE', '机场四字码：ZSOF', 'FAA代码：', '城市：合肥（Hefei）', '电话：', '机场所在地时间：2019-3-30 01:06:52', '机场跑道：9843 英尺', '机场跑道：2992 米')
('呼和浩特 Hohhot', '呼和浩特白塔国际机场(Baita International)', 'HET', 'ZBHH', '机场三字码：HET', '机场四字码：ZBHH', 'FAA代码：', '城市：呼和浩特（Hohhot）', '电话：', '机场所在地时间：2019-3-30 01:06:53', '机场跑道：10501 英尺', '机场跑道：3192 米')
('天津 Tianjin', '天津滨海国际机场(Tianjin Binhai International)', 'TSN', 'ZBTJ', '机场三字码：TSN', '机场四字码：ZBTJ', 'FAA代码：', '城市：天津（Tianjin）', '电话：86 22 24901111', '机场所在地时间：2019-3-30 01:06:55', '机场跑道：10499 英尺', '机场跑道：3192 米')
('石家庄 Shijiazhuang', '石家庄正定国际机场(Shijiazhuang Daguocun International)', 'SJW', 'ZBSJ', '机场三字码：SJW', '机场四字码：ZBSJ', 'FAA代码：', '城市：石家庄（Shijiazhuang）', '电话：', '机场所在地时间：2019-3-30 01:06:57', '机场跑道：11155 英尺', '机场跑道：3391 米')
('银川 Yinchuan', '银川河东国际机场(Yinchuan Hedong International)', 'INC', 'ZLIC', '机场三字码：INC', '机场四字码：ZLIC', 'FAA代码：', '城市：银川（Yinchuan）', '电话：0951-96111', '机场所在地时间：2019-3-30 01:06:58', '机场跑道：11811', '机场跑道：3600')
('兰州 Lanzhou', '兰州中川国际机场(Lanzhou Zhongchuan)', 'LHW', 'ZLAN', '机场三字码：LHW', '机场四字码：ZLAN', 'FAA代码：', '城市：兰州（Lanzhou）', '电话：+86-931-8968160', '机场所在地时间：2019-3-30 01:06:59', '机场跑道：11811 英尺', '机场跑道：3591 米')
('青岛 Qingdao', '青岛流亭国际机场(Liuting)', 'TAO', 'ZSQD', '机场三字码：TAO', '机场四字码：ZSQD', 'FAA代码：', '城市：青岛（Qingdao）', '电话：', '机场所在地时间：2019-3-30 01:07:00', '机场跑道：11155 英尺', '机场跑道：3391 米')
('乌鲁木齐 Urumqi', '乌鲁木齐地窝堡国际机场(Urumqi Diwopu International)', 'URC', 'ZWWW', '机场三字码：URC', '机场四字码：ZWWW', 'FAA代码：', '城市：乌鲁木齐（Urumqi）', '电话：', '机场所在地时间：2019-3-29 23:07:03', '机场跑道：11811 英尺', '机场跑道：3591 米')
('桂林 GuilinCity', '桂林两江国际机场(Guilin Liangjiang International)', 'KWL', 'ZGKL', '机场三字码：KWL', '机场四字码：ZGKL', 'FAA代码：', '城市：桂林（Guilin City）', '电话：', '机场所在地时间：2019-3-30 01:07:04', '机场跑道：9186 英尺', '机场跑道：2793 米')
('泉州 Quanzhou', '泉州晋江国际机场(Quanzhou)', 'JJN', 'ZSQZ', '机场三字码：JJN', '机场四字码：ZSQZ', 'FAA代码：', '城市：泉州（Quanzhou）', '电话：', '机场所在地时间：2019-3-30 01:07:06', '机场跑道： 英尺', '机场跑道：0 米')
('十堰 Shiyan', '十堰武当山机场(Shiyan Wudang Mountain)', 'WDS', 'ZHSY', '机场三字码：WDS', '机场四字码：ZHSY', 'FAA代码：', '城市：十堰（Shiyan）', '电话：', '机场所在地时间：2019-3-30 01:07:07', '机场跑道：', '机场跑道：')
('大连 Dalian', '大连国际机场(Zhoushuizi)', 'DLC', 'ZYTL', '机场三字码：DLC', '机场四字码：ZYTL', 'FAA代码：', '城市：大连（Dalian）', '电话：', '机场所在地时间：2019-3-30 01:07:07', '机场跑道：10827 英尺', '机场跑道：3291 米')
('北京 Beijing', '北京大兴国际机场(Beijing Daxing International)', 'PKX', 'ZBAD', '机场三字码：PKX', '机场四字码：ZBAD', 'FAA代码：', '城市：北京（Beijing）', '电话：', '机场所在地时间：2019-3-30 01:07:09', '机场跑道：', '机场跑道：')
('淮安 Huaian', '淮安涟水机场(Lianshui)', 'HIA', 'ZSSH', '机场三字码：HIA', '机场四字码：ZSSH', 'FAA代码：', '城市：淮安（Huaian）', '电话：', '机场所在地时间：2019-3-30 01:07:10', '机场跑道： 英尺', '机场跑道：2400 米')
('高雄 KaohsiungCity', '高雄国际机场(Kaohsiung International)', 'KHH', 'RCKH', '机场三字码：KHH', '机场四字码：RCKH', 'FAA代码：', '城市：高雄（Kaohsiung City）', '电话：+886-7-805-7886', '机场所在地时间：2019-3-30 01:07:11', '机场跑道：10335 英尺', '机场跑道：3142 米')
('太原 Taiyuan', '太原武宿国际机场(Taiyuan Wusu)', 'TYN', 'ZBYN', '机场三字码：TYN', '机场四字码：ZBYN', 'FAA代码：', '城市：太原（Taiyuan）', '电话：', '机场所在地时间：2019-3-30 01:07:13', '机场跑道：10500 英尺', '机场跑道：3192 米')
('常州 Changzhou', '常州奔牛国际机场(Changzhou)', 'CZX', 'ZSCG', '机场三字码：CZX', '机场四字码：ZSCG', 'FAA代码：', '城市：常州（Changzhou）', '电话：', '机场所在地时间：2019-3-30 01:07:13', '机场跑道： 英尺', '机场跑道：0 米')
('大理 Xiaguan', '大理机场(Dali)', 'DLU', 'ZPDL', '机场三字码：DLU', '机场四字码：ZPDL', 'FAA代码：', '城市：大理（Xiaguan）', '电话：', '机场所在地时间：2019-3-30 01:07:15', '机场跑道： 英尺', '机场跑道：0 米')
('台北 TaipeiCity', '台北松山国际机场(Taipei Songshan)', 'TSA', 'RCSS', '机场三字码：TSA', '机场四字码：RCSS', 'FAA代码：', '城市：台北（Taipei City）', '电话：', '机场所在地时间：2019-3-30 01:07:15', '机场跑道：8547 英尺', '机场跑道：2598 米')
('温州 Wenzhou', '温州龙湾国际机场(Wenzhou Yongqiang)', 'WNZ', 'ZSWZ', '机场三字码：WNZ', '机场四字码：ZSWZ', 'FAA代码：', '城市：温州（Wenzhou）', '电话：', '机场所在地时间：2019-3-30 01:07:17', '机场跑道： 英尺', '机场跑道：0 米')
('无锡 Wuxi', '无锡硕放国际机场(Sunan Shuofang International)', 'WUX', 'ZSWX', '机场三字码：WUX', '机场四字码：ZSWX', 'FAA代码：', '城市：无锡（Wuxi）', '电话：', '机场所在地时间：2019-3-30 01:07:17', '机场跑道： 英尺', '机场跑道：0 米')
('敦煌 Dunhuang', '敦煌机场(Dunhuang)', 'DNH', 'ZLDH', '机场三字码：DNH', '机场四字码：ZLDH', 'FAA代码：', '城市：敦煌（Dunhuang）', '电话：', '机场所在地时间：2019-3-29 23:07:18', '机场跑道： 英尺', '机场跑道：0 米')
('张家界 Dayong', '张家界荷花机场(Dayong)', 'DYG', 'ZGDY', '机场三字码：DYG', '机场四字码：ZGDY', 'FAA代码：', '城市：张家界（Dayong）', '电话：', '机场所在地时间：2019-3-30 01:07:19', '机场跑道： 英尺', '机场跑道：0 米')
('拉萨 Lhasa', '拉萨贡嘎国际机场(Lhasa Gonggar)', 'LXA', 'ZULS', '机场三字码：LXA', '机场四字码：ZULS', 'FAA代码：', '城市：拉萨（Lhasa）', '电话：(0891) 624 6011', '机场所在地时间：2019-3-30 01:07:19', '机场跑道：13123 英尺', '机场跑道：3989 米')
('南通 Nantong', '南通兴东机场(Nantong)', 'NTG', 'ZSNT', '机场三字码：NTG', '机场四字码：ZSNT', 'FAA代码：', '城市：南通（Nantong）', '电话：', '机场所在地时间：2019-3-30 01:07:20', '机场跑道： 英尺', '机场跑道：0 米')
('南竿 NangangIsland', '南竿机场(Matsu Nangan)', 'LZN', 'RCFG', '机场三字码：LZN', '机场四字码：RCFG', 'FAA代码：', '城市：南竿（Nangang Island）', '电话：', '机场所在地时间：2019-3-30 01:07:21', '机场跑道：5180 英尺', '机场跑道：1575 米')
('遵义 Zunyi', '遵义茅台机场(ZUNYI MAOTAI)', '', '', '机场三字码：', '机场四字码：', 'FAA代码：', '城市：遵义（Zunyi）', '电话：', '机场所在地时间：2019-3-30 01:07:22', '机场跑道：8530 英尺', '机场跑道：2600 米')
('惠州 Huizhou', '惠州平潭机场(Huizhou)', 'HUZ', 'ZGHZ', '机场三字码：HUZ', '机场四字码：ZGHZ', 'FAA代码：', '城市：惠州（Huizhou）', '电话：', '机场所在地时间：2019-3-30 01:07:23', '机场跑道： 英尺', '机场跑道：0 米')
('武冈 Wugang', '邵阳武冈机场(Shaoyang Wugang)', 'WGN', '', '机场三字码：WGN', '机场四字码：', 'FAA代码：', '城市：武冈（Wugang）', '电话：', '机场所在地时间：2019-3-30 01:07:26', '机场跑道：8 530 英尺', '机场跑道：2600 米')
('黄山 Huangshan', '黄山屯溪国际机场(Tunxi International)', 'TXN', 'ZSTX', '机场三字码：TXN', '机场四字码：ZSTX', 'FAA代码：', '城市：黄山（Huangshan）', '电话：', '机场所在地时间：2019-3-30 01:07:27', '机场跑道： 英尺', '机场跑道：0 米')
('丽江 Lijiang', '丽江三义机场(Lijiang)', 'LJG', 'ZPLJ', '机场三字码：LJG', '机场四字码：ZPLJ', 'FAA代码：', '城市：丽江（Lijiang）', '电话：', '机场所在地时间：2019-3-30 01:07:28', '机场跑道： 英尺', '机场跑道：0 米')
('烟台 Yantai', '烟台蓬莱国际机场(Yantai Penglai International Airport)', 'YNT', 'ZSYT', '机场三字码：YNT', '机场四字码：ZSYT', 'FAA代码：', '城市：烟台（Yantai）', '电话：0535-6299999', '机场所在地时间：2019-3-30 01:07:29', '机场跑道：11155', '机场跑道：3400')
('北京南苑 Beijing', '北京南苑机场(Beijing Nanyuan)', 'NAY', 'ZBNY', '机场三字码：NAY', '机场四字码：ZBNY', 'FAA代码：', '城市：北京南苑（Beijing）', '电话：', '机场所在地时间：2019-3-30 01:07:30', '机场跑道：9514 英尺', '机场跑道：2892 米')
('衡阳 Hengyang', '衡阳南岳机场(Hengyang)', 'HNY', 'ZGHY', '机场三字码：HNY', '机场四字码：ZGHY', 'FAA代码：', '城市：衡阳（Hengyang）', '电话：', '机场所在地时间：2019-3-30 01:07:31', '机场跑道： 英尺', '机场跑道：0 米')
('台中 TaichungCity', '台中清泉岗机场(Taichung Ching Chuang Kang)', 'RMQ', 'RCMQ', '机场三字码：RMQ', '机场四字码：RCMQ', 'FAA代码：', '城市：台中（Taichung City）', '电话：', '机场所在地时间：2019-3-30 01:07:31', '机场跑道：12000 英尺', '机场跑道：3648 米')
('西宁 Xining', '西宁曹家堡机场(Xining Caojiabu)', 'XNN', 'ZLXN', '机场三字码：XNN', '机场四字码：ZLXN', 'FAA代码：', '城市：西宁（Xining）', '电话：', '机场所在地时间：2019-3-30 01:07:32', '机场跑道： 英尺', '机场跑道：0 米')
('赣州 Ganzhou', '赣州黄金机场(Ganzhou)', 'KOW', 'ZSGZ', '机场三字码：KOW', '机场四字码：ZSGZ', 'FAA代码：', '城市：赣州（Ganzhou）', '电话：', '机场所在地时间：2019-3-30 01:07:33', '机场跑道： 英尺', '机场跑道：0 米')
('北海 Beihai', '北海福成机场(Beihai)', 'BHY', 'ZGBH', '机场三字码：BHY', '机场四字码：ZGBH', 'FAA代码：', '城市：北海（Beihai）', '电话：', '机场所在地时间：2019-3-30 01:07:34', '机场跑道： 英尺', '机场跑道：0 米')
('鄂尔多斯 Ordos', '鄂尔多斯伊金霍洛机场(Ordos Ejin Horo)', 'DSN', 'ZBDS', '机场三字码：DSN', '机场四字码：ZBDS', 'FAA代码：', '城市：鄂尔多斯（Ordos）', '电话：', '机场所在地时间：2019-3-30 01:07:35', '机场跑道： 英尺', '机场跑道：0 米')
('宜昌 Yichang', '宜昌三峡机场(Yichang Sanxia Airport )', 'YIH', 'ZHYC', '机场三字码：YIH', '机场四字码：ZHYC', 'FAA代码：', '城市：宜昌（Yichang）', '电话：', '机场所在地时间：2019-3-30 01:07:37', '机场跑道：8530', '机场跑道：2600')
('襄樊 Xiangfan', '襄阳刘集机场(Xiangfan)', 'XFN', 'ZHXF', '机场三字码：XFN', '机场四字码：ZHXF', 'FAA代码：', '城市：襄樊（Xiangfan）', '电话：', '机场所在地时间：2019-3-30 01:07:38', '机场跑道： 英尺', '机场跑道：0 米')
('湛江 Zhanjiang', '湛江机场(Zhanjiang)', 'ZHA', 'ZGZJ', '机场三字码：ZHA', '机场四字码：ZGZJ', 'FAA代码：', '城市：湛江（Zhanjiang）', '电话：', '机场所在地时间：2019-3-30 01:07:39', '机场跑道： 英尺', '机场跑道：0 米')
('马公 MakungCity', '马公机场(Makung)', 'MZG', 'RCQC', '机场三字码：MZG', '机场四字码：RCQC', 'FAA代码：', '城市：马公（Makung City）', '电话：', '机场所在地时间：2019-3-30 01:07:40', '机场跑道：9843 英尺', '机场跑道：2992 米')
('遵义 Zunyi', '遵义新舟机场(Zunyi Xinzhou)', 'ZYI', 'ZUZY', '机场三字码：ZYI', '机场四字码：ZUZY', 'FAA代码：', '城市：遵义（Zunyi）', '电话：', '机场所在地时间：2019-3-30 01:07:40', '机场跑道： 英尺', '机场跑道：0 米')
('黄岩 Huangyan', '台州路桥机场(Huangyan Luqiao)', 'HYN', 'ZSLQ', '机场三字码：HYN', '机场四字码：ZSLQ', 'FAA代码：', '城市：黄岩（Huangyan）', '电话：', '机场所在地时间：2019-3-30 01:07:41', '机场跑道： 英尺', '机场跑道：0 米')
('徐州 Xuzhou', '徐州观音国际机场(Xuzhou Guanyin)', 'XUZ', 'ZSXZ', '机场三字码：XUZ', '机场四字码：ZSXZ', 'FAA代码：', '城市：徐州（Xuzhou）', '电话：', '机场所在地时间：2019-3-30 01:07:42', '机场跑道： 英尺', '机场跑道：0 米')
('西双版纳 Jinghong', '西双版纳嘎洒机场(Xishuangbanna Gasa)', 'JHG', 'ZPJH', '机场三字码：JHG', '机场四字码：ZPJH', 'FAA代码：', '城市：西双版纳（Jinghong）', '电话：', '机场所在地时间：2019-3-30 01:07:43', '机场跑道：7218 英尺', '机场跑道：2194 米')
('绵阳 Mianyang', '绵阳南郊机场(Mianyang)', 'MIG', 'ZUMY', '机场三字码：MIG', '机场四字码：ZUMY', 'FAA代码：', '城市：绵阳（Mianyang）', '电话：', '机场所在地时间：2019-3-30 01:07:44', '机场跑道： 英尺', '机场跑道：0 米')
('威海 Weihai', '威海大水泊机场(Weihai)', 'WEH', 'ZSWH', '机场三字码：WEH', '机场四字码：ZSWH', 'FAA代码：', '城市：威海（Weihai）', '电话：', '机场所在地时间：2019-3-30 01:07:45', '机场跑道：8530 英尺', '机场跑道：2593 米')
('广州 Guangzhou', '广州正果国际机场(Guangzhou Zhengguo International)', '', '', '机场三字码：', '机场四字码：', 'FAA代码：', '城市：广州（Guangzhou）', '电话：', '机场所在地时间：2019-3-30 01:07:46', '机场跑道：', '机场跑道：')
("井冈山 Ji'an", '井冈山机场(Jinggangshan)', 'JGS', 'ZSGS', '机场三字码：JGS', '机场四字码：ZSGS', 'FAA代码：', "城市：井冈山（Ji'an）", '电话：', '机场所在地时间：2019-3-30 01:07:48', '机场跑道： 英尺', '机场跑道：0 米')
('梅县 Meixian', '梅县长岗岌机场(Meixian)', 'MXZ', 'ZGMX', '机场三字码：MXZ', '机场四字码：ZGMX', 'FAA代码：', '城市：梅县（Meixian）', '电话：(86) 0753-2242666', '机场所在地时间：2019-3-30 01:07:49', '机场跑道： 英尺', '机场跑道：0 米')
('苏州 Suzhou', '苏州光福机场(Guangfu)', 'SZV', 'ZSSZ', '机场三字码：SZV', '机场四字码：ZSSZ', 'FAA代码：', '城市：苏州（Suzhou）', '电话：', '机场所在地时间：2019-3-30 01:07:50', '机场跑道： 英尺', '机场跑道：0 米')
('汉中 Hanzhong', '汉中城固机场(Hanzhong)', 'HZG', 'ZLHZ', '机场三字码：HZG', '机场四字码：ZLHZ', 'FAA代码：', '城市：汉中（Hanzhong）', '电话：', '机场所在地时间：2019-3-30 01:07:52', '机场跑道： 英尺', '机场跑道：0 米')
('南阳 Nanyang', '南阳姜营机场(Nanyang)', 'NNY', 'ZHNY', '机场三字码：NNY', '机场四字码：ZHNY', 'FAA代码：', '城市：南阳（Nanyang）', '电话：', '机场所在地时间：2019-3-30 01:07:53', '机场跑道： 英尺', '机场跑道：0 米')
('包头 Baotou', '包头二里半机场(Baotou)', 'BAV', 'ZBOW', '机场三字码：BAV', '机场四字码：ZBOW', 'FAA代码：', '城市：包头（Baotou）', '电话：', '机场所在地时间：2019-3-30 01:07:54', '机场跑道： 英尺', '机场跑道：0 米')
('大庆 DaqingShi', '大庆萨尔图机场(Saertu)', 'DQA', 'ZYDQ', '机场三字码：DQA', '机场四字码：ZYDQ', 'FAA代码：', '城市：大庆（Daqing Shi）', '电话：', '机场所在地时间：2019-3-30 01:07:55', '机场跑道： 英尺', '机场跑道：0 米')
('舟山 Zhoushan', '舟山普陀山机场(Zhoushan)', 'HSN', 'ZSZS', '机场三字码：HSN', '机场四字码：ZSZS', 'FAA代码：', '城市：舟山（Zhoushan）', '电话：', '机场所在地时间：2019-3-30 01:07:56', '机场跑道： 英尺', '机场跑道：0 米')
('百色 Baise', '百色巴马机场(Baise Youjiang)', 'AEB', 'ZGBS', '机场三字码：AEB', '机场四字码：ZGBS', 'FAA代码：', '城市：百色（Baise）', '电话：', '机场所在地时间：2019-3-30 01:07:58', '机场跑道： 英尺', '机场跑道：0 米')
('常德 Changde', '常德桃花源机场(Changde)', 'CGD', 'ZGCD', '机场三字码：CGD', '机场四字码：ZGCD', 'FAA代码：', '城市：常德（Changde）', '电话：', '机场所在地时间：2019-3-30 01:07:59', '机场跑道： 英尺', '机场跑道：0 米')
('南充 Nanchong', '南充高坪机场(Nanchong)', 'NAO', 'ZUNC', '机场三字码：NAO', '机场四字码：ZUNC', 'FAA代码：', '城市：南充（Nanchong）', '电话：', '机场所在地时间：2019-3-30 01:08:00', '机场跑道： 英尺', '机场跑道：0 米')
